Elements with names in Child.xsl:

Element, Name
call-template, NewcurrencyFormattedPrice
call-template, NewcurrencyFormattedPrice
call-template, NewcurrencyFormattedPrice
call-template, NewcurrencyFormattedPrice
call-template, NewcurrencyFormattedPrice
call-template, NewcurrencyFormattedPrice
call-template, format-currency
call-template, format-currency
call-template, formatDate
call-template, formatDate
call-template, format-currency
call-template, sum-extended-list
call-template, sum-extended-list
call-template, sumDriveCapacity
call-template, getExtendedNetPrice
call-template, processAssetManagement
call-template, processBillingAndRenewal
call-template, processAdvancedDiscounting
call-template, processBundleManagement
call-template, processCommentsHistory
call-template, processCompanyBranding
call-template, processSupportEdgeRenewals
decimal-format, american
decimal-format, indian
decimal-format, zimbabwe
decimal-format, swiss
decimal-format, euro
decimal-format, hungarian
param, EMAIL_RECIPIENT_NUMFORMAT_PREF
param, BM_IMAGESERVER_TOKEN
param, TIME_ZONE
param, TEMPLATE_ID
param, TRANSACTION_ID
param, PRINT_TIME
param, PRINT_CODE
param, dateValue
param, format
param, date
param, lineItem
param, lineItem
param, renewalCalculation
param, platformLines
param, lineItemNumber
param, serviceStartDate
param, format
param, serviceEndDate
param, format
param, lineItem
param, assetType
param, lineItem
param, parentDocNum
param, catCodeType
param, dynamicCatCode
param, legacyCatCode
param, parentDocNum
param, showCatalogCodes
param, dynamicCatCode
param, legacyCatCode
param, catCodeType
param, rootNode
param, price
param, currencyFormat
param, multiplier
param, showCents
param, safePrecision
param, currencyFormat
param, base_string
param, string_to_replace
param, string_to_replace_with
param, wrdBrk
param, word
param, remaining
param, fullNumber
param, decimalSeparator
param, safePrecision
param, currencyFormat
param, showCents
param, safePrecision
param, currencyFormat
param, symbolLocation
param, CURRENCY_LABEL_PLACEHOLDER
param, whiteSpace
param, value
param, currencyFormat
param, currency
param, currencyFormat
param, currency
param, date
param, separator
param, date
param, separator
param, lineNode
param, lines
param, lineNode
param, lineNode
param, lines
param, configNumber
param, lineNumber
param, expansionLineNum
param, bomLevel
param, lineType
param, subLines
param, subLines
param, subLines
param, subtotalGrandTotal
param, subtotalGrandTotal
param, subtotalGrandTotal
param, lineType
param, summaryPrintGrouping
param, extendedListPrice
param, hasDonotPrint
param, summaryPrintGrouping
param, lineType
param, renewalIndicator
param, lineItemNumber
param, lineNode
param, dateFormat
param, lineNode
param, dateFormat
param, assetType
param, var
param, val
param, numFormat
param, precision
param, price
param, multiplier
param, showCents
param, precision
param, currency
param, showCurrencySymbol
param, decimalFormatClass
param, price
param, currency
param, multiplier
param, showCents
param, showCurrencySymbol
param, precision
param, val
param, numFormat
param, formatForDisplay
param, attachmentID
param, defaultUrl
param, attachmentID
param, price
param, align
param, fontSize
param, fontWeight
param, label
param, sum
param, align
param, label
param, discPct
param, fontSize
param, fontWeight
param, align
param, price
param, align
param, fontSize
param, fontWeight
param, precision
param, label
param, list
param, label
param, list
param, label
param, suffix
param, sum
param, lineItem
param, dateString
param, amount
param, price
param, lines
param, lines
param, index
param, sum
param, list
param, total
param, rows
param, counter
param, rowCount
param, startDate
param, endDate
param, code
param, lineNode
param, lineNode
param, lineNode
param, configNumber
param, transactionData
param, transactionData
param, transactionData
param, configNumber
param, transactionData
template, formatDateForHTML
template, convertToddMMMyyy
template, getTierSpecificExtNetPrice
template, getTierSpecificDiscount
template, getTierSpecificRenewalTotal
template, getTierSpecificPlatformTotal
template, getServiceDates
template, formatServiceStartDate
template, formatServiceEndDate
template, getInstalledAddress
template, getAssetTypeServiceDates
template, getCatalogCodes
template, displayDiscountCategory
template, getHardwareCatalogCodes
template, conditionalCatalogDisplay
template, copyNodes
template, BMI_calculateSafePrice
template, BMI_determineDecimalSeparator
template, BMI_replaceSubstring
template, splitTextIntoElementList
template, ignoreHalfEvenRounding
template, BMI_formatCurrencyValue
template, BMI_determineGroupingSeparator
template, appendCurrencyPlaceHolder
template, BMI_addCurrencyLabelOnly
template, BMI_addCurrencyLabel
template, BMI_formatLongDate
template, BMI_formatShortDate
template, getExtendedNetPrice
template, sumExtendedNetPrices
template, getUnitNetPrice
template, getDiscountPercentage
template, sumExtendedListPrices
template, getSESRenewalsLines
template, getSubLines
template, getHardwareLines
template, getSoftwareLines
template, getSubscriptionLines
template, shouldShowPricing
template, shouldShowListPricing
template, shouldShowNetPricing
template, isStandardOrService
template, isTradeIn
template, shouldDisplayLine
template, getServicePeriodInfo
template, getFormattedServiceStartDate
template, getFormattedServiceEndDate
template, getAssetTypeLabel
template, getCustomXslTruth
template, BMI_formatFloat
template, BMI_universalFormatPriceCustom
template, BMI_universalFormatPrice
template, BMI_universalNumber
template, BMI_getImageSrc
template, BM_getEmbedDocSrc
template, currencyFormattedPrice
template, addendumTotalPrint
template, discountFormattedPrint
template, NewcurrencyFormattedPrice
template, summaryPrintList
template, summaryPrintListALL
template, printSumNumeric
template, getExtendedListPrice
template, formatDate
template, format-currency
template, netapp_formatPrice
template, calculate-extended-list
template, sum-extended-list
template, createCommaSeparatedList
template, sumDriveCapacity
template, calculateMonthsBetweenDates
template, countryCodeToName
template, processAssetManagement
template, processBillingAndRenewal
template, processAdvancedDiscounting
template, processBundleManagement
template, processCommentsHistory
template, processCompanyBranding
template, processContingencyInfo
template, renderEnhancedMasterLogic
template, processSupportEdgeRenewals
variable, FILEATTACHMENT_DELIM
variable, printDateFormat
variable, quoteCurrency
variable, _dsMain1
variable, _dsUser
variable, pricingTier
variable, EffectiveCapacityLines
variable, AddpartLines
variable, AddpartHardwareLines
variable, AddpartSoftwareLines
variable, AddpartServicesLines
variable, AddpartStorageLines
variable, StoragecapacityLines
variable, ObjectStorageLines
variable, SimplifiedFlag
variable, serviceLines
variable, AccountXml
variable, serialNumberList
variable, tmpSerialNumberList
variable, year
variable, month
variable, day
variable, formattedDate
variable, extNetPrice
variable, discounts
variable, renewalTotal
variable, platformTotal
variable, ChildLines
variable, ServiceStartDate
variable, ServiceEndDate
variable, ServiceDuration
variable, installedat
variable, ChildServiceLines
variable, dynamicCatCode
variable, legacyCatCode
variable, ServiceLines
variable, dynamicCatCode
variable, legacyCatCode
variable, serviceDurationList
variable, decimalSeparator
variable, formattedPrice
variable, priceWithoutMult
variable, multipliedPrice
variable, resultString
variable, decimalPrice
variable, precisionPlusOne
variable, decimalPlaceOffset
variable, decimalSeparator
variable, groupingSeparator
variable, month
variable, month
variable, day
variable, year
variable, serviceLines
variable, pattern
variable, groupingSeparator
variable, decimalSeparator
variable, wholePart
variable, decimalPart
variable, format
variable, safePrecision
variable, safePrice
variable, dfcName
variable, format
variable, formattedNumber
variable, currencySymbol
variable, safePrecision
variable, safePrice
variable, format
variable, currencySymbol
variable, realNumber
variable, reverseSeperators
variable, reverseSeperators
variable, year
variable, month
variable, day
variable, formattedDate
variable, accountsJson
variable, afterEndCustomer
variable, afterName
variable, endCustomerName
variable, afterAddress1
variable, endCustomerAddress
variable, afterCity
variable, endCustomerCity
variable, afterState
variable, endCustomerState
variable, afterCountry
variable, endCustomerCountry
variable, afterZip
variable, endCustomerZip
variable, renewalModelLines
variable, COLUMN97146a5d-d8d0-43a1-9c13-84344296d864
variable, COLUMN70f9dcc8-13e3-468a-ab57-a5ea0d9c03b7
variable, _dsSub1
variable, lineItemNumber
variable, ChildLines
variable, ServiceStartDate
variable, ServiceEndDate
variable, ServiceDuration
variable, _dsTxnArray
variable, RenewalTotalCalculation
variable, extNetPrice
variable, modelReferenceID
variable, parentMODEL
variable, servicePeriodMODEL
variable, configID
variable, modelName
variable, pvrStatus
variable, catCodesMode
variable, serviceLines
variable, dynamicCat
variable, serviceLines
variable, legacyCat
variable, serialNumberList
variable, childLines
variable, currentKey
variable, precedingKeys
variable, lineItemNumber
variable, childServiceLines
variable, pvrStatus
variable, parentSubroot
variable, virtualLineID
variable, parentConfigName
variable, lineNumber
variable, bom_level
variable, top_model_name
variable, platformLines
variable, capacityLines
variable, networkingLines
variable, switchesLines
variable, BridgesLines
variable, SoftwareLines
variable, subscriptionLines
variable, otherserviceLines
variable, AddserviceLines
variable, ProfserviceLines
variable, dataNodesLines
variable, platformpriceLines
variable, capacitypriceLines
variable, networkingpricesLines
variable, switchespricesLines
variable, BridgespricesLines
variable, SoftwarepriceLines
variable, subscriptionpriceLines
variable, otherservicepriceLines
variable, AddservicepriceLines
variable, ProfservicepriceLines
variable, dataNodespriceLines
variable, serialNumberList
variable, tmpSerialNumberList
variable, platformTotalPrice
variable, ssdCapacity
variable, hdCapacity
variable, capacityTotalPrice
variable, dataNodesTotalPrice
variable, networkingpricesLinesTotal
variable, switchespricesLinesTotal
variable, BridgespricesLinesTotal
variable, SoftwareTotalPrice
variable, subscriptionTotalPrice
variable, otherserviceTotalPrice
variable, AddserviceTotalPrice
variable, ProfserviceTotalPrice
variable, allPriceLines
variable, allListPriceTotal
variable, allPricesNetTotal
variable, rootDocNumber
variable, configNumber
variable, grandNetPrice
variable, configID
variable, installedat
variable, parentLoopDocNumber
variable, SimplifiedFlag
variable, AutoRenew
variable, BillingFrequency
variable, SelectedTech
variable, smplines
variable, serviceDuration
variable, lineNumber
variable, bom_level
variable, top_model_name
variable, allComponentLines
variable, allSubLines
variable, platformLines
variable, hasplatformLines
variable, capacityLines
variable, hascapacityLines
variable, networkingLines
variable, hasnetworkingLines
variable, switchesLines
variable, hasswitchesLines
variable, BridgesLines
variable, hasBridgessLines
variable, dataNodesLines
variable, hasdataNodesLines
variable, otherhardwareLines
variable, hasotherHardwareLines
variable, SoftwareLines
variable, hasSoftwareLines
variable, OSLines
variable, hasOSLines
variable, subscriptionLines
variable, hassubscriptionLines
variable, otherserviceLines
variable, hasothserviceLines
variable, AddserviceLines
variable, hasaddserviceLines
variable, ProfserviceLines
variable, hasprofserviceLines
variable, StorageplatformLines
variable, hasStorageplatformLines
variable, StoragecapacityLines
variable, hasStoragecapacityLines
variable, hardwareLines
variable, storageLines
variable, softwareLines
variable, serviceLines
variable, cond_summary_view
variable, cond_platform
variable, cond_capacity
variable, cond_networking
variable, cond_software
variable, platformLines
variable, networkingLines
variable, hardwareExtNet
variable, hardwareExtList
variable, hardwareDiscount
variable, storagePlatformLines
variable, storageCapacityLines
variable, storageExtNet
variable, storageExtList
variable, storageDiscount
variable, softwareExtNet
variable, softwareExtList
variable, softwareDiscount
variable, servicesOnlyLines
variable, additionalServicesLines
variable, serviceLinesWithDuration
variable, rootDocWithAddress
variable, serviceAddress
variable, servicesExtNet
variable, servicesExtList
variable, servicesDiscount
variable, smpLineNumber
variable, smpModelName
variable, nonSmpLineNumber
variable, nonSmpModelName
variable, proposalLoopDocNumber
variable, parentConfigName
variable, AutoRenew
variable, BillingFrequency
variable, SelectedTech
variable, proposalLoopDocNumber
variable, parentLoopDocNumber
variable, parentConfigName
variable, AutoRenew
variable, BillingFrequency
variable, SelectedTech
variable, SimplifiedFlag
variable, modelLoopDocNumber
variable, lineNumber
variable, bom_level
variable, top_model_name
variable, part_name
variable, allSubLines
variable, hardwareLines
variable, softwareLines
variable, serviceLines
variable, serialNumbers
variable, proposalLoopDocNumber
variable, parentLoopDocNumber
variable, parentConfigName
variable, renewalSvcName
variable, renewalName
variable, modelLoopDocNumber
variable, lineNumber
variable, installedAt
variable, proposalLoopDocNumber
variable, excludingOneTimeFeeLines
variable, extNetPrice
variable, totalWithOneTime
variable, hasPromotionalDiscount
variable, promoDesc
variable, grandNetPrice
variable, grandListPrice
variable, currency
variable, currencySymbol
variable, decimalPlaces
variable, formatPattern
variable, symbolAfter
variable, total
variable, currentLine
variable, listPrice
variable, quantity
variable, extended
variable, rowVal
variable, startYear
variable, startMonth
variable, endYear
variable, endMonth
variable, months
variable, hasAdvancedDiscounts
variable, bundleParentLines
variable, SESRenewalsLines
variable, _dsSub1
variable, hasSESRenewalsLines
variable, showListPrice
variable, showNetPrice
variable, _dsSub1
variable, lineItemNumber
variable, ChildLines
variable, ServiceStartDate
variable, ServiceEndDate
variable, ServiceDuration
variable, _dsTxnArray
variable, extNetPrice
variable, RenewalTotalCalculation
variable, renewalGrandTotal
variable, EffectiveCapacityLines
variable, hasEffectiveCapacityLines
variable, _dsSub1
variable, Effective
variable, extNetPrice
with-param, date
with-param, dateValue
with-param, format
with-param, dateValue
with-param, format
with-param, serviceStartDate
with-param, serviceEndDate
with-param, serviceEndDate
with-param, serviceStartDate
with-param, serviceEndDate
with-param, catCodeType
with-param, dynamicCatCode
with-param, legacyCatCode
with-param, currencyFormat
with-param, base_string
with-param, string_to_replace
with-param, string_to_replace_with
with-param, fullNumber
with-param, safePrecision
with-param, base_string
with-param, string_to_replace
with-param, string_to_replace_with
with-param, word
with-param, remaining
with-param, wrdBrk
with-param, word
with-param, remaining
with-param, wrdBrk
with-param, currencyFormat
with-param, currencyFormat
with-param, price
with-param, multiplier
with-param, showCents
with-param, safePrecision
with-param, showCents
with-param, safePrecision
with-param, currency
with-param, base_string
with-param, string_to_replace
with-param, string_to_replace_with
with-param, amount
with-param, amount
with-param, val
with-param, numFormat
with-param, precision
with-param, amount
with-param, dateString
with-param, dateString
with-param, dateString
with-param, dateString
with-param, dateString
with-param, dateString
with-param, price
with-param, align
with-param, fontSize
with-param, fontWeight
with-param, price
with-param, lineNode
with-param, align
with-param, fontSize
with-param, fontWeight
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, dateString
with-param, dateString
with-param, dateString
with-param, dateString
with-param, dateString
with-param, amount
with-param, amount
with-param, list
with-param, amount
with-param, rows
with-param, rows
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, list
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, configNumber
with-param, transactionData
with-param, var
with-param, var
with-param, var
with-param, var
with-param, var
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, lines
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, lines
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, lines
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, amount
with-param, lines
with-param, amount
with-param, amount
with-param, date
with-param, date
with-param, date
with-param, date
with-param, amount
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, date
with-param, date
with-param, date
with-param, date
with-param, amount
with-param, amount
with-param, amount
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, price
with-param, currency
with-param, amount
with-param, amount
with-param, dateString
with-param, dateString
with-param, amount
with-param, lines
with-param, index
with-param, sum
with-param, lines
with-param, index
with-param, sum
with-param, total
with-param, counter
with-param, rows
with-param, rowCount
with-param, lineNode
with-param, lineNode
with-param, lineNode
with-param, lineNode
with-param, configNumber
with-param, transactionData
with-param, transactionData
